id,pop
BGJ1,Gaspé
BG2J,Gaspé
BGJ3,Gaspé
BGJ4,Gaspé
BGJ5,Gaspé
BGJ6,Gaspé
BGJ7,Gaspé
BGJ8,Gaspé
BGJ9,Gaspé
BGJ10,Gaspé
BGJ11,Gaspé
BGJ12,Gaspé
BGJ13,Gaspé
BGJ14,Gaspé
BGJ15 ,Gaspé
BGJ16,Gaspé
BGJ17,Gaspé
BGJ18,Gaspé
BGJ19,Gaspé
BGJ20,Gaspé
BGJ21,Gaspé
BGJ22,Gaspé
BGJ23,Gaspé
BGJ24,Gaspé
PTL1,PLT
PTL2,PLT
PTL4,PLT
PTL5,PLT
PTL6,PLT
PTL7,PLT
PTL8,PLT
PTL9,PLT
PTL10,PLT
PTL11,PLT
PTL12,PLT
PTL13,PLT
PTL14,PLT
PTL15,PLT
PTL16,PLT
PTL17,PLT
PTL18,PLT
PTL19,PLT
PTL20,PLT
PTL21,PLT
PTL22,PLT
PTL23,PLT
PTL24,PLT
IV1,Ile verte
IV2,Ile verte
IV3,Ile verte
IV4,Ile verte
IV5,Ile verte
IV6,Ile verte
IV7,Ile verte
IV8,Ile verte
IV9,Ile verte
IV10,Ile verte
IV12,Ile verte
IV13,Ile verte
IV14,Ile verte
IV15,Ile verte
IV16,Ile verte
IV18,Ile verte
IV19,Ile verte
IV20,Ile verte
IV21,Ile verte
IV22,Ile verte
IV23,Ile verte
IV24,Ile verte
IV25,Ile verte
RIKI1,Rimouski
RIKI2,Rimouski
RIKI3,Rimouski
RIKI4,Rimouski
RIKI5,Rimouski
RIKI6,Rimouski
RIKI7,Rimouski
RIKI8,Rimouski
RIKI9,Rimouski
RIKI10,Rimouski
RIKI11,Rimouski
RIKI12,Rimouski
RIKI13,Rimouski
RIKI15,Rimouski
RIKI16,Rimouski
RIKI17,Rimouski
RIKI19,Rimouski
RIKI20,Rimouski
RIKI21,Rimouski
RIKI22,Rimouski
CAJ1,CAJ
CAJ2,CAJ
CAJ3,CAJ
CAJ4,CAJ
CAJ5,CAJ
CAJ6,CAJ
CAJ7,CAJ
CAJ8,CAJ
CAJ9,CAJ
CAJ10,CAJ
CAJ11,CAJ
CAJ12,CAJ
CAJ13,CAJ
CAJ14,CAJ
CAJ15,CAJ
CAJ16,CAJ
CAJ17,CAJ
CAJ18,CAJ
CAJ19,CAJ
CAJ20,CAJ
CAJ21,CAJ
CAJ22,CAJ
CAJ23,CAJ
CAJ24,CAJ
SPT1,Sept iles
SPT2,Sept iles
SPT3,Sept iles
SPT4,Sept iles
SPT5,Sept iles
SPT6,Sept iles
SPT7,Sept iles
SPT8,Sept iles
SPT9,Sept iles
SPT10,Sept iles
SPT12,Sept iles
SPT13,Sept iles
SPT14,Sept iles
SPT16,Sept iles
SPT17,Sept iles
SPT18,Sept iles
SPT19,Sept iles
SPT20,Sept iles
SPT21,Sept iles
SPT22,Sept iles
SPT23,Sept iles
SPT24,Sept iles
SS1,SS
SS2,SS
SS3,SS
SS4,SS
SS5,SS
SS6,SS
SS7,SS
SS8,SS
SS9,SS
SS10,SS
SS11,SS
SS12,SS
SS13,SS
SS14,SS
SS15,SS
SS17,SS
SS18,SS
SS19,SS
SS20,SS
SS21,SS
SS22,SS
SS23,SS
SS24,SS
RIKI23,Rimouski
RIKI24,Rimouski
