id,pop
SL-AK-2,Alaska
SL-FW-7,Rhode_island
SA-GS-2,Maine
SA-GS-10,Maine
SL-BR-7,Connecticut
SL-CC-3,CapeCod
SL-CC-11,CapeCod
SA-CB-7,Maine
SL-DI-12,Maine
SL-FI-6,NewYork
SL-JS-9,NewHampshire
SL-JS-19,NewHampshire
SL-AK-1,Alaska
SL-FW-8,Rhode_island
SA-GS-3,Maine
SA-GS-11,Maine
SL-BR-8,Connecticut
SL-CC-4,CapeCod
SL-CC-12,CapeCod
SA-CB-8,Maine
SL-DI-13,Maine
SL-FI-8,NewYork
SL-JS-11,NewHampshire
SL-JS-20,NewHampshire
SL-BR-1,Connecticut
SL-FW-9,Rhode_island
SA-GS-4,Maine
SA-GS-12,Maine
SL-BR-9,Connecticut
SL-CC-5,CapeCod
SA-CB-1,Maine
SA-CB-9,Maine
SL-DI-15,Maine
SL-FI-9,NewYork
SL-JS-12,NewHampshire
SL-FW-1,Rhode_island
SL-BR-2,Connecticut
SL-FW-10,Rhode_island
SA-GS-5,Maine
SL-IS-1,Maine
SL-BR-10,Connecticut
SL-CC-6,CapeCod
SA-CB-2,Maine
SA-CB-10,Maine
SL-DI-16,Maine
SL-FI-10,NewYork
SL-JS-14,NewHampshire
SL-FW-2,Rhode_island
SL-BR-3,Connecticut
SL-FW-11,Rhode_island
SA-GS-6,Maine
SL-IS-2,Maine
SL-BR-11,Connecticut
SL-CC-7,CapeCod
SA-CB-3,Maine
SL-DI-3,Maine
SL-DI-17,Maine
SL-FI-20,NewYork
SL-JS-15,NewHampshire
SL-FW-3,Rhode_island
SL-BR-4,Connecticut
SL-NC-7,Maine
SA-GS-7,Maine
SL-IS-3,Maine
SL-BR-12,Connecticut
SL-CC-8,CapeCod
SA-CB-4,Maine
SL-DI-5,Maine
SL-FI-1,NewYork
SL-FI-21,NewYork
SL-JS-16,NewHampshire
SL-FW-4,Rhode_island
SL-BR-5,Connecticut
SL-FW-14,Rhode_island
SA-GS-8,Maine
